COGs IDS	COG_Ids	func	name
COG2161	COG2161	V	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family
COG2162	COG2162	Q	Arylamine N-acetyltransferase
COG2165	COG2165	N	Type II secretory pathway, pseudopilin PulG
COG2166	COG2166	O	Sulfur transfer protein SufE, Fe-S center assembly
COG2168	COG2168	O	Sulfur transfer complex TusBCD TusB component, DsrH family
COG2169	COG2169	L	Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains
COG2170	COG2170	O	Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily
COG2171	COG2171	E	Tetrahydrodipicolinate N-succinyltransferase
COG2172	COG2172	T	Anti-sigma regulatory factor (Ser/Thr protein kinase)
COG2173	COG2173	M	D-alanyl-D-alanine dipeptidase
COG2175	COG2175	Q	Taurine dioxygenase, alpha-ketoglutarate-dependent
COG2176	COG2176	L	DNA polymerase III, alpha subunit (gram-positive type)
COG2177	COG2177	D	Cell division protein FtsX
COG2180	COG2180	C	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor
COG2181	COG2181	C	Nitrate reductase gamma subunit
COG2182	COG2182	G	Maltose-binding periplasmic protein MalE
COG2183	COG2183	K	Transcriptional accessory protein Tex/SPT6
COG2184	COG2184	T	Fido, protein-threonine AMPylation domain
COG2185	COG2185	I	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)
COG2186	COG2186	K	DNA-binding transcriptional regulator, FadR family
COG2187	COG2187	R	Aminoglycoside phosphotransferase family enzyme
COG2188	COG2188	K	DNA-binding transcriptional regulator, GntR family
COG2189	COG2189	L	Adenine specific DNA methylase Mod
COG2190	COG2190	G	Phosphotransferase system IIA component
COG2192	COG2192	R	Predicted carbamoyl transferase, NodU family
COG2193	COG2193	P	Bacterioferritin (cytochrome b1)
COG2194	COG2194	M	Phosphoethanolamine transferase for periplasmic glucans (OPG), alkaline phosphatase superfamily
COG2195	COG2195	E	Di- or tripeptidase
COG2197	COG2197	T	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains
COG2198	COG2198	T	HPt (histidine-containing phosphotransfer) domain
COG2199	COG2199	T	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants
COG2200	COG2200	T	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)
COG2201	COG2201	N	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains
COG2202	COG2202	T	PAS domain
COG2203	COG2203	T	GAF domain
COG2204	COG2204	T	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains
COG2205	COG2205	T	K+-sensing histidine kinase KdpD
COG2206	COG2206	T	HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)
COG2207	COG2207	K	AraC-type DNA-binding domain and AraC-containing proteins
COG2208	COG2208	T	Serine phosphatase RsbU, regulator of sigma subunit
COG2209	COG2209	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE
COG2211	COG2211	G	Na+/melibiose symporter or related transporter
COG2212	COG2212	P	Multisubunit Na+/H+ antiporter, MnhF subunit
COG2213	COG2213	G	Phosphotransferase system, mannitol-specific IIBC component
COG2214	COG2214	K	Curved DNA-binding protein CbpA, contains a DnaJ-like domain
COG2215	COG2215	P	ABC-type nickel/cobalt efflux system, permease component RcnA
COG2216	COG2216	P	High-affinity K+ transport system, ATPase chain B
COG2217	COG2217	P	Cation transport ATPase
COG2218	COG2218	C	Formylmethanofuran dehydrogenase subunit C
COG2219	COG2219	L	Eukaryotic-type DNA primase, large subunit
COG2220	COG2220	G	L-ascorbate metabolism protein UlaG, beta-lactamase superfamily
COG2222	COG2222	M	Fructoselysine-6-P-deglycase FrlB and related proteins with duplicated sugar isomerase (SIS) domain
COG2223	COG2223	P	Nitrate/nitrite transporter NarK
COG2224	COG2224	C	Isocitrate lyase
COG2225	COG2225	C	Malate synthase
COG2226	COG2226	H	Ubiquinone/menaquinone biosynthesis C-methylase UbiE
COG2227	COG2227	H	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase
COG2229	COG2229	U	Signal recognition particle receptor subunit beta, a GTPase
COG2230	COG2230	I	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases
COG2233	COG2233	F	Xanthine/uracil permease
COG2234	COG2234	O	Zn-dependent amino- or carboxypeptidase, M28 family
COG2235	COG2235	E	Arginine deiminase
COG2236	COG2236	H	Hypoxanthine phosphoribosyltransferase
COG2239	COG2239	P	Mg/Co/Ni transporter MgtE (contains CBS domain)
COG2240	COG2240	H	Pyridoxal/pyridoxine/pyridoxamine kinase
COG2241	COG2241	H	Precorrin-6B methylase 1
COG2242	COG2242	H	Precorrin-6B methylase 2
COG2243	COG2243	H	Precorrin-2 methylase
COG2244	COG2244	M	Membrane protein involved in the export of O-antigen and teichoic acid
COG2246	COG2246	I	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)
COG2249	COG2249	R	Putative NADPH-quinone reductase (modulator of drug activity B)
COG2250	COG2250	S	HEPN domain
COG2251	COG2251	R	Predicted nuclease, RecB family
COG2252	COG2252	F	Xanthine/uracil/vitamin C permease, AzgA family
COG2255	COG2255	L	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit
COG2256	COG2256	L	Replication-associated recombination protein RarA (DNA-dependent ATPase)
COG2257	COG2257	U	Type III secretion system substrate exporter, FlhB-like
COG2258	COG2258	S	Uncharacterized conserved protein YiiM, contains MOSC domain
COG2259	COG2259	S	Uncharacterized membrane protein YphA, DoxX/SURF4 family
COG2261	COG2261	R	Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family
COG2262	COG2262	J	50S ribosomal subunit-associated GTPase HflX
COG2264	COG2264	J	Ribosomal protein L11 methylase PrmA
COG2265	COG2265	J	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family
COG2267	COG2267	I	Lysophospholipase, alpha-beta hydrolase superfamily
COG2268	COG2268	S	Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain
COG2269	COG2269	J	Elongation factor P--beta-lysine ligase (EF-P beta-lysylation pathway)
COG2270	COG2270	R	MFS-type transporter involved in bile tolerance, Atg22 family
COG2271	COG2271	G	Sugar phosphate permease
COG2272	COG2272	I	Carboxylesterase type B
COG2273	COG2273	G	Beta-glucanase, GH16 family
COG2274	COG2274	V	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
COG2301	COG2301	G	Citrate lyase beta subunit
COG2303	COG2303	I	Choline dehydrogenase or related flavoprotein
COG2304	COG2304	R	Secreted protein containing bacterial Ig-like domain and vWFA domain
COG2307	COG2307	S	Uncharacterized conserved protein, Alpha-E superfamily
COG2308	COG2308	S	Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily
COG2309	COG2309	E	Leucyl aminopeptidase (aminopeptidase T)
COG2310	COG2310	T	Stress response protein SCP2
COG2311	COG2311	S	Uncharacterized membrane protein YeiB
COG2312	COG2312	Q	Erythromycin esterase homolog
COG2313	COG2313	F	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)
COG2314	COG2314	S	Uncharacterized membrane protein YozV, TM2 domain
COG2315	COG2315	K	Predicted DNA-binding protein with ‘double-wing’ structural motif, MmcQ/YjbR family
COG2317	COG2317	E	Zn-dependent carboxypeptidase, M32 family
COG2318	COG2318	S	Uncharacterized damage-inducible protein DinB (forms a four-helix bundle)
COG2319	COG2319	R	WD40 repeat
COG2320	COG2320	R	GrpB domain, predicted nucleotidyltransferase, UPF0157 family
COG2321	COG2321	R	Predicted metalloprotease
COG2322	COG2322	S	Uncharacterized membrane protein YozB, DUF420 family
COG2323	COG2323	S	Uncharacterized membrane protein YcaP, DUF421 family
COG2326	COG2326	C	Polyphosphate kinase 2, PPK2 family
COG2329	COG2329	H	Heme-degrading monooxygenase HmoA and related ABM domain proteins
COG2331	COG2331	R	Predicted nucleic acid-binding protein, contains Zn-ribbon domain
COG2332	COG2332	C	Cytochrome c-type biogenesis protein CcmE
COG2333	COG2333	R	Metal-dependent hydrolase, beta-lactamase superfamily II
COG2334	COG2334	T	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist
COG2335	COG2335	R	Uncaracterized surface protein containing fasciclin (FAS1) repeats
COG2336	COG2336	T	Antitoxin component of the MazEF toxin-antitoxin module
COG2337	COG2337	V	mRNA-degrading endonuclease, toxin component of the MazEF toxin-antitoxin module
COG2339	COG2339	T	Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family
COG2340	COG2340	S	Uncharacterized conserved protein YkwD, contains CAP (CSP/antigen 5/PR1) domain
COG2345	COG2345	K	Predicted transcriptional regulator, ArsR family
COG2346	COG2346	P	Truncated hemoglobin YjbI
COG2348	COG2348	M	Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme)
COG2350	COG2350	R	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine
COG2351	COG2351	F	5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family
COG2352	COG2352	C	Phosphoenolpyruvate carboxylase
COG2353	COG2353	R	Polyisoprenoid-binding periplasmic protein YceI
COG2354	COG2354	S	Uncharacterized membrane protein MutK, may be involved in DNA repair
COG2355	COG2355	E	Zn-dependent dipeptidase, microsomal dipeptidase homolog
COG2356	COG2356	L	Endonuclease I
COG2357	COG2357	F	ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)
COG2358	COG2358	R	TRAP-type uncharacterized transport system, periplasmic component
COG2360	COG2360	O	Leu/Phe-tRNA-protein transferase
COG2361	COG2361	S	Uncharacterized conserved protein, contains HEPN domain
COG2363	COG2363	S	Uncharacterized membrane protein YgdD, TMEM256/DUF423 family
COG2364	COG2364	S	Uncharacterized membrane protein YczE
COG2365	COG2365	T	Protein tyrosine/serine phosphatase
COG2366	COG2366	Q	Acyl-homoserine lactone (AHL) acylase PvdQ
COG2367	COG2367	V	Beta-lactamase class A
COG2369	COG2369	S	Uncharacterized conserved protein, contains phage Mu gpF-like domain
COG2370	COG2370	O	Hydrogenase/urease accessory protein HupE
COG2371	COG2371	O	Urease accessory protein UreE
COG2372	COG2372	P	Copper-binding protein CopC (methionine-rich)
COG2373	COG2373	R	Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family
COG2374	COG2374	R	Predicted extracellular nuclease
COG2375	COG2375	P	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains
COG2376	COG2376	G	Dihydroxyacetone kinase
COG2377	COG2377	M	1,6-Anhydro-N-acetylmuramate kinase
COG2378	COG2378	K	Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains
COG2379	COG2379	G	Glycerate-2-kinase
COG2382	COG2382	P	Enterochelin esterase or related enzyme
COG2384	COG2384	J	tRNA A22 N-methylase
COG2386	COG2386	O	ABC-type transport system involved in cytochrome c biogenesis, permease component
COG2388	COG2388	R	Predicted acetyltransferase, GNAT superfamily
COG2390	COG2390	K	DNA-binding transcriptional regulator LsrR, DeoR family
COG2391	COG2391	R	Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains
COG2401	COG2401	R	ABC-type ATPase fused to a predicted acetyltransferase domain
COG2404	COG2404	J	Oligoribonuclease NrnB or cAMP/cGMP phosphodiesterase, DHH superfamily
COG2407	COG2407	G	L-fucose isomerase or related protein
COG2409	COG2409	S	Uncharacterized membrane protein YdfJ, MMPL/SSD domain
COG2421	COG2421	C	Acetamidase/formamidase
COG2423	COG2423	E	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family
COG2431	COG2431	S	Uncharacterized membrane protein YbjE, DUF340 family
COG2440	COG2440	C	Ferredoxin-like protein FixX
COG2445	COG2445	S	Uncharacterized conserved protein YutE, UPF0331/DUF86 family
COG2452	COG2452	X	Predicted site-specific integrase-resolvase
COG2453	COG2453	T	Protein-tyrosine phosphatase
COG2461	COG2461	S	Uncharacterized conserved protein, DUF438 domain, may contain hemerythrin domain
COG2501	COG2501	J	Ribosome-associated protein YbcJ, S4-like RNA binding protein
COG2502	COG2502	E	Asparagine synthetase A
COG2503	COG2503	R	Predicted secreted acid phosphatase
COG2508	COG2508	K	DNA-binding transcriptional regulator, PucR family
COG2509	COG2509	R	Uncharacterized FAD-dependent dehydrogenase
COG2510	COG2510	S	Uncharacterized membrane protein
COG2513	COG2513	G	2-Methylisocitrate lyase and related enzymes, PEP mutase family
COG2514	COG2514	Q	Catechol-2,3-dioxygenase
COG2515	COG2515	E	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family
COG2518	COG2518	O	Protein-L-isoaspartate O-methyltransferase
COG2519	COG2519	J	tRNA A58 N-methylase Trm61
COG2521	COG2521	R	Predicted archaeal methyltransferase
COG2602	COG2602	V	Beta-lactamase class D
COG2603	COG2603	J	tRNA 2-selenouridine synthase SelU, contains rhodanese domain
COG2606	COG2606	J	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC
COG2607	COG2607	R	Predicted ATPase, AAA+ superfamily
COG2608	COG2608	P	Copper chaperone CopZ
COG2609	COG2609	C	Pyruvate dehydrogenase complex, dehydrogenase (E1) component
COG2610	COG2610	G	H+/gluconate symporter or related permease
COG2703	COG2703	T	Hemerythrin
COG2704	COG2704	G	Anaerobic C4-dicarboxylate transporter
COG2706	COG2706	G	6-phosphogluconolactonase, cycloisomerase 2 family
COG2707	COG2707	S	Uncharacterized membrane protein, DUF441 family
COG2710	COG2710	P	Nitrogenase molybdenum-iron protein, alpha and beta chains
COG2715	COG2715	R	Spore maturation protein SpmA (function unknown)
COG2716	COG2716	E	Glycine cleavage system regulatory protein
COG2717	COG2717	C	Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit
COG2718	COG2718	R	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family
COG2719	COG2719	D	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)
COG2720	COG2720	V	Vancomycin resistance protein YoaR (function unknown), contains peptidoglycan-binding and VanW domains
COG2721	COG2721	G	Altronate dehydratase
COG2723	COG2723	G	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase
COG2731	COG2731	G	Beta-galactosidase, beta subunit
COG2732	COG2732	K	Barstar, RNAse (barnase) inhibitor
COG2733	COG2733	S	Uncharacterized membrane-anchored protein YjiN, DUF445 family
COG2738	COG2738	O	Zn-dependent membrane protease YugP
COG2739	COG2739	K	Predicted DNA-binding protein YlxM, UPF0122 family
COG2740	COG2740	R	Predicted RNA-binding protein YlxR, DUF448 family
COG2746	COG2746	V	Aminoglycoside N3'-acetyltransferase
COG2747	COG2747	K	Negative regulator of flagellin synthesis (anti-sigma28 factor)
COG2755	COG2755	E	Lysophospholipase L1 or related esterase
COG2759	COG2759	F	Formyltetrahydrofolate synthetase
COG2761	COG2761	O	Predicted dithiol-disulfide isomerase, DsbA family
COG2764	COG2764	R	Uncharacterized conserved protein PhnB, glyoxalase superfamily
COG2766	COG2766	T	Predicted Ser/Thr protein kinase
COG2771	COG2771	K	DNA-binding transcriptional regulator, CsgD family
COG2801	COG2801	X	Transposase InsO and inactivated derivatives
COG2802	COG2802	S	Uncharacterized protein, similar to the N-terminal domain of Lon protease
COG2804	COG2804	N	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB
COG2805	COG2805	N	Tfp pilus assembly protein PilT, pilus retraction ATPase
COG2807	COG2807	P	Cyanate permease
COG2808	COG2808	T	Predicted FMN-binding regulatory protein PaiB
COG2812	COG2812	L	DNA polymerase III, gamma/tau subunits
COG2813	COG2813	J	16S rRNA G1207 methylase RsmC
COG2814	COG2814	G	Predicted arabinose efflux permease, MFS family
COG2815	COG2815	M	PASTA domain, binds beta-lactams
COG2816	COG2816	F	NADH pyrophosphatase NudC, Nudix superfamily
COG2818	COG2818	L	3-methyladenine DNA glycosylase Tag
COG2819	COG2819	R	Predicted hydrolase of the alpha/beta superfamily
COG2820	COG2820	F	Uridine phosphorylase
COG2821	COG2821	M	Membrane-bound lytic murein transglycosylase
COG2823	COG2823	S	Osmotically-inducible protein OsmY, contains BON domain
COG2824	COG2824	K	Uncharacterized Zn-ribbon-containing protein
COG2825	COG2825	M	Periplasmic chaperone for outer membrane proteins, Skp family
COG2826	COG2826	X	Transposase and inactivated derivatives, IS30 family
COG2827	COG2827	L	Predicted endonuclease, GIY-YIG superfamily
COG2828	COG2828	C	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)
COG2829	COG2829	M	Outer membrane phospholipase A
COG2831	COG2831	U	Hemolysin activation/secretion protein
COG2832	COG2832	S	Uncharacterized membrane protein YbaN, DUF454 family
COG2833	COG2833	S	Uncharacterized conserved protein, contains ferritin-like DUF455 domain
COG2834	COG2834	M	Outer membrane lipoprotein-sorting protein
COG2835	COG2835	S	Uncharacterized conserved protein YbaR, Trm112 family
COG2836	COG2836	P	Sulfite exporter TauE/SafE
COG2837	COG2837	P	Periplasmic deferrochelatase/peroxidase EfeB
COG2838	COG2838	C	Monomeric isocitrate dehydrogenase
COG2839	COG2839	S	Uncharacterized conserved protein YqgC, DUF456 family
COG2840	COG2840	L	DNA-nicking endonuclease, Smr domain
COG2841	COG2841	S	Uncharacterized conserved protein YdcH, DUF465 family
COG2842	COG2842	X	Bacteriophage DNA transposition protein, AAA+ family ATPase
COG2843	COG2843	M	Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily
COG2844	COG2844	O	UTP:GlnB (protein PII) uridylyltransferase
COG2845	COG2845	S	Uncharacterized protein
COG2846	COG2846	O	Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains
COG2847	COG2847	P	Copper(I)-binding protein
COG2849	COG2849	V	Antitoxin component YwqK of the YwqJK toxin-antitoxin module
COG2850	COG2850	J	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain
COG2851	COG2851	C	Mg2+/citrate symporter
COG2852	COG2852	L	Very-short-patch-repair endonuclease
COG2853	COG2853	M	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, lipoprotein component MlaA
COG2854	COG2854	I	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic MlaC component
COG2855	COG2855	S	Uncharacterized membrane protein YadS
COG2856	COG2856	E	Zn-dependent peptidase ImmA, M78 family
COG2857	COG2857	C	Cytochrome c1
COG2859	COG2859	S	Uncharacterized protein
COG2860	COG2860	S	Uncharacterized membrane protein YeiH
COG2861	COG2861	G	Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family
COG2862	COG2862	S	Uncharacterized membrane protein YqhA
COG2863	COG2863	C	Cytochrome c553
COG2864	COG2864	C	Cytochrome b subunit of formate dehydrogenase
COG2865	COG2865	K	Predicted transcriptional regulator, contains HTH domain
COG2866	COG2866	M	Murein tripeptide amidase MpaA
COG2867	COG2867	J	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module
COG2868	COG2868	S	Uncharacterized conserved protein YsxB, DUF464 family
COG2869	COG2869	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC
COG2870	COG2870	M	ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase
COG2871	COG2871	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF
COG2872	COG2872	J	Ser-tRNA(Ala) deacylase AlaX (editing enzyme)
COG2873	COG2873	E	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent
COG2875	COG2875	H	Precorrin-4 methylase
COG2876	COG2876	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
COG2877	COG2877	M	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase
COG2878	COG2878	C	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit
COG2879	COG2879	S	Uncharacterized short protein YbdD, DUF466 family
COG2882	COG2882	N	Flagellar biosynthesis chaperone FliJ
COG2884	COG2884	D	ABC-type ATPase involved in cell division
COG2885	COG2885	M	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins
COG2887	COG2887	L	RecB family exonuclease
COG2890	COG2890	J	Methylase of polypeptide chain release factors
COG2891	COG2891	M	Cell shape-determining protein MreD
COG2893	COG2893	G	Phosphotransferase system, mannose/fructose-specific component IIA
COG2894	COG2894	D	Septum formation inhibitor-activating ATPase MinD
COG2895	COG2895	P	Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family
COG2896	COG2896	H	Molybdenum cofactor biosynthesis enzyme MoaA
COG2897	COG2897	P	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains
COG2898	COG2898	S	Lysylphosphatidylglycerol synthetase, C-terminal domain, DUF2156 family
COG2899	COG2899	S	Uncharacterized protein
COG2900	COG2900	S	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)
COG2901	COG2901	K	DNA-binding protein Fis (factor for inversion stimulation)
COG2902	COG2902	E	NAD-specific glutamate dehydrogenase
COG2904	COG2904	J	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain
COG2905	COG2905	T	Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains
COG2906	COG2906	P	Bacterioferritin-associated ferredoxin
COG2907	COG2907	R	Predicted NAD/FAD-binding protein
COG2908	COG2908	M	UDP-2,3-diacylglucosamine pyrophosphatase LpxH
COG2909	COG2909	K	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT
COG2910	COG2910	R	Putative NADH-flavin reductase
COG2911	COG2911	U	Autotransporter translocation and assembly factor TamB
COG2912	COG2912	T	Regulator of sirC expression, contains transglutaminase-like and TPR domains
COG2913	COG2913	M	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex
COG2914	COG2914	V	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily
COG2915	COG2915	X	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation
COG2916	COG2916	K	DNA-binding protein H-NS
COG2917	COG2917	D	Intracellular septation protein A
COG2918	COG2918	H	Gamma-glutamylcysteine synthetase
COG2919	COG2919	D	Cell division protein FtsB
COG2920	COG2920	P	Sulfur relay (sulfurtransferase) protein, DsrC/TusE family
COG2921	COG2921	T	Putative lipoic acid-binding regulatory protein
COG2922	COG2922	S	Uncharacterized conserved protein Smg, DUF494 family
COG2923	COG2923	P	Sulfur relay (sulfurtransferase) complex TusC component, DsrF/TusC family
COG2924	COG2924	P	Fe-S cluster biosynthesis and repair protein YggX
COG2925	COG2925	L	Exonuclease I
COG2927	COG2927	L	DNA polymerase III, chi subunit
COG2928	COG2928	S	Uncharacterized membrane protein
COG2929	COG2929	S	Uncharacterized conserved protein, DUF497 family
COG2930	COG2930	I	Lipid-binding SYLF domain
COG2931	COG2931	Q	Ca2+-binding protein, RTX toxin-related
COG2932	COG2932	X	Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains
COG2933	COG2933	J	23S rRNA C2498 (ribose-2'-O)-methylase RlmM
COG2935	COG2935	O	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase
COG2936	COG2936	R	Predicted acyl esterase
COG2937	COG2937	I	Glycerol-3-phosphate O-acyltransferase
COG2938	COG2938	O	Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module
COG2939	COG2939	E	Carboxypeptidase C (cathepsin A)
COG2940	COG2940	R	SET domain-containing protein (function unknown)
COG2941	COG2941	H	Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family
COG2942	COG2942	G	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family
COG2943	COG2943	M	Membrane glycosyltransferase
COG2944	COG2944	K	DNA-binding transcriptional regulator YiaG, XRE-type HTH domain
COG2945	COG2945	R	Alpha/beta superfamily hydrolase
COG2947	COG2947	R	Predicted RNA-binding protein, contains PUA-like domain
COG2948	COG2948	U	Type IV secretory pathway, VirB10 components
COG2949	COG2949	M	Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin
COG2951	COG2951	M	Membrane-bound lytic murein transglycosylase B
COG2954	COG2954	R	CYTH domain, found in class IV adenylate cyclase and various triphosphatases
COG2956	COG2956	M	Lipopolysaccharide biosynthesis regulator YciM, contains six TPR domains and a predicted metal-binding C-terminal domain
COG2957	COG2957	E	Agmatine/peptidylarginine deiminase
COG2958	COG2958	S	Uncharacterized protein
COG2959	COG2959	S	Uncharacterized conserved protein HemX (no evidence of involvement in heme biosynthesis)
COG2960	COG2960	S	Uncharacterized conserved protein YqiC, BMFP domain
COG2961	COG2961	J	23S rRNA A2030 N6-methylase RlmJ
COG2962	COG2962	S	Uncharacterized membrane protein RarD, contains two EamA domains
COG2963	COG2963	X	Transposase and inactivated derivatives
COG2964	COG2964	K	Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains
COG2965	COG2965	L	Primosomal replication protein N
COG2966	COG2966	S	Uncharacterized membrane protein YjjP, DUF1212 family
COG2967	COG2967	P	Uncharacterized protein affecting Mg2+/Co2+ transport
COG2968	COG2968	S	Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain
COG2969	COG2969	R	Stringent starvation protein B
COG2971	COG2971	G	BadF-type ATPase, related to human N-acetylglucosamine kinase
COG2972	COG2972	T	Sensor histidine kinase YesM
COG2973	COG2973	K	Trp operon repressor
COG2974	COG2974	L	DNA recombination-dependent growth factor C
COG2975	COG2975	O	Fe-S-cluster formation regulator IscX/YfhJ
COG2976	COG2976	T	Putative negative regulator of RcsB-dependent stress response
COG2977	COG2977	Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)
COG2978	COG2978	H	p-Aminobenzoyl-glutamate transporter AbgT
COG2979	COG2979	S	Uncharacterized membrane protein YebE, DUF533 family
COG2980	COG2980	M	Outer membrane lipoprotein LptE/RlpB (LPS assembly)
COG2981	COG2981	E	Uncharacterized protein involved in cysteine biosynthesis
COG2982	COG2982	M	Uncharacterized protein involved in outer membrane biogenesis
COG2983	COG2983	S	Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family
COG2984	COG2984	R	ABC-type uncharacterized transport system, periplasmic component
COG2985	COG2985	R	Uncharacterized membrane protein YbjL, putative transporter
COG2986	COG2986	E	Histidine ammonia-lyase
COG2987	COG2987	E	Urocanate hydratase
COG2988	COG2988	E	Succinylglutamate desuccinylase
COG2989	COG2989	M	Murein L,D-transpeptidase YcbB/YkuD
COG2990	COG2990	S	Uncharacterized protein VirK/YbjX
COG2991	COG2991	S	Uncharacterized protein
COG2992	COG2992	R	Uncharacterized FlgJ-related protein
COG2993	COG2993	C	Cbb3-type cytochrome oxidase, cytochrome c subunit
COG2995	COG2995	S	Uncharacterized paraquat-inducible protein A
COG2996	COG2996	R	Predicted RNA-binding protein, contains S1 domains,  virulence factor B family
COG2998	COG2998	P	ABC-type tungstate transport system, permease component
COG3000	COG3000	I	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily
COG3001	COG3001	G	Fructosamine-3-kinase
COG3004	COG3004	C	Na+/H+ antiporter NhaA
COG3005	COG3005	C	Tetraheme cytochrome c subunit of nitrate or TMAO reductase
COG3007	COG3007	I	Trans-2-enoyl-CoA reductase
COG3008	COG3008	S	Paraquat-inducible protein B
COG3009	COG3009	S	Uncharacterized lipoprotein YmbA
COG3010	COG3010	G	Putative N-acetylmannosamine-6-phosphate epimerase
COG3011	COG3011	R	Predicted thiol-disulfide oxidoreductase YuxK, DCC family
